Date,Tweet Text,Author Location,puntaje,clasificacion
2023-10-09 11:21:44,ahora ahora entiendo generar panico colectivo corte agua dias si ustedes sabian iban terminar dia agua distritos retornaba dias familias ganan comprado tachos l abastecerse,Surquillo,0.0,negativo
2023-10-09 11:26:40,bien haciendo buen trabajo empresas nacionales problema problema politiqueros traidores empresario codicioso sabotearlo comprarlo precio remate,NaN,0.53,neutro
2023-10-09 13:55:58,aqui gato encerrado,Lima,0.5,neutro
2023-10-09 14:05:28,reverenda verguenza,España,0.5,neutro
2023-10-09 14:16:17,deben cobrar servicio mes manera informar provoco familias gastaran mas dinero comprar agua justos,Planet Earth,0.0,negativo
"2023-10-09 14:58:33,trabajo hdp,""Lima, Peru"",0.49,neutro"
"2023-10-09 17:27:44,cortan agua hoy avisan varios distritos agua previo aviso masivo,""Lima, Peru"",0.02,negativo"
2023-10-10 04:47:28,psicosocial falso privaticen mierda,NaN,0.5,neutro
"2023-10-10 06:19:55,mes cobrar mas consumo toda gente guardo agua placemes vendedores contenedores tanques botellones agua salieron ganando panico causaron siempre perjudicados poblacion,""Lima, Peru"",0.0,negativo"
"2023-10-10 06:35:04,buenos dias lilia solicitamos favor proporcione numero suministro via realizaremos verificacion correspondiente quedamos atentos pronta comunicacion,""Lima, Peru"",0.73,positivo"
2023-10-10 08:09:11,compr bidones c u devuelve dinero vendedora cerro,NaN,0.12,negativo
2023-10-10 11:22:54,si justifiquen roban ahora recibos consumo,NaN,0.15,negativo
2023-10-10 13:46:47,dias independencia va llendo agua previo aviso vuelve flujo notificado algun medio,NaN,0.04,negativo
"2023-10-11 06:24:55,hola estimado usuario si momento aun presenta problemas servicio solicitamos favor brinde numero suministro verificando saludos,""Lima, Peru"",0.0,negativo"
2023-10-07 19:02:26,haran cortes servicio agua zonas lima dias siguen,NaN,0.3,negativo
2023-10-07 19:04:26,zonas amarillo,NaN,0.7,positivo
"2023-10-07 19:05:17,devuelve tinas compre tamare,""Lima, Peru"",0.5,neutro"
2023-10-07 19:11:50,mentira agua aun,NaN,0.12,negativo
"2023-10-07 19:14:40,bien empezado explicar respecto proyecto nueva matriz particular empalme iba realizar poblacion zonas afectadas entiendan mejor,""Lima, Peru"",0.12,negativo"
2023-10-07 19:17:18,medios comunicacion encargaron crear caos panico,LIMA PERÙ,0.5,neutro
2023-10-07 19:21:17,agua v s,NaN,0.31,negativo
"2023-10-07 19:25:05,dice santa anita correcto sectores baja potencia sector,""Santa Anita, Peru"",0.05,negativo"
2023-10-07 19:25:16,casa nunca falto agua supuestamente iva demorar horas gracias dios compraron devuelve plata,NaN,0.01,negativo
2023-10-07 19:35:47,falso vivo vmt nueva esperanza agua pm pe noticias peru,Perú,0.01,negativo
2023-10-07 19:37:37,descarados ineptos rateros,NaN,0.5,neutro
2023-10-07 19:38:29,si pendejos ahora hago baldes comprados mas agua medidor habra disparado guardar agua botellas chela cagones,NaN,0.01,negativo
"2023-10-07 19:41:14,abastecieron realizaron cortes dia chorrillos regreso agua am hoy volvieron cortar abusoooo mal comunicaciones coordinaciones,""Lima, Peru"",0.0,negativo"
2023-10-07 20:32:57,quedo agua almacenada favor botarla usarla limpieza riego areas verdes arbolitos gracias,NaN,0.09,negativo
"2023-10-07 20:34:34,hicieron alboroto solo demuestran gestion publica ineficiente,""Lima, Peru"",0.23,negativo"
"2023-10-07 20:36:56,vmt ay agua llevo dias agua,""Villa Maria del Triunfo, Peru"",0.09,negativo"
2023-10-07 20:38:53,mas creo,NaN,0.14,negativo
2023-10-07 20:47:55,tremenda cortina humo,Peru,0.5,neutro
2023-10-07 20:56:58,guarden tinas bateas falta agua habra fenomeno nino,NaN,0.11,negativo
2023-10-07 21:02:48,felicitaciones,NaN,0.5,neutro
"2023-10-07 21:12:13,prensa solo intereso hacer lio instituciones luego show hoy intereso ademas agua guardada puede usar bano cocina dias ahorra igualmente informar bien soluciono rapido,""Cusco, Peru"",0.0,negativo"
2023-10-07 21:20:28,presion mediatica hizo trabajen rapido,NaN,0.49,neutro
"2023-10-07 21:29:48,exageraron dias agua comuniquen mejor planes corte proxima,""Lima, Peru"",0.34,neutro"
"2023-10-07 21:37:02,ahora corre gastos vendran recibos mes sgtepor guardar agua dias contar costo bidones tinas comprado deberia hacer considerar dias ducto sinolos perjudicados usuarios,""Lima, Peru"",0.01,negativo"
2023-10-07 22:21:04,sector cercado villa maria x posta nunca agua ahora devuelve plata gaste comprando tachos bidones plan ejecucion exacta tenian solo asustan poblacion,NaN,0.01,negativo
2023-10-07 22:37:31,compre tachos litros,Lima peru,0.5,neutro
"2023-10-07 23:32:57,jajaja loco,""Lima, Peru"",0.5,neutro"
2023-10-07 23:54:01,cortina humo gobierno genocida,Peru,0.5,neutro
"2023-10-08 00:00:54,agua mentira dia hoy agua recien llego pm bajisima presion,""Lima, Peru"",0.0,negativo"
2023-10-08 03:16:59,quejen recipientes servira dentro llegue nino,Casa del Zodiaco,0.31,negativo
"2023-10-08 05:57:09,buenos dias cynthia solicitamos favor proporcione numero suministro via realizaremos verificacion correspondiente quedamos atentos pronta comunicacion,""Lima, Peru"",0.73,positivo"
"2023-10-08 05:59:10,buenos dias usuario solicitamos favor proporcione numero suministro via realizaremos verificacion correspondiente quedamos atentos pronta comunicacion,""Lima, Peru"",0.73,positivo"
2023-10-08 08:26:53,falso urb prolongacion benavides agua,NaN,0.31,negativo
2023-10-08 08:43:02,mentira mentirosos,Lima-Peru,0.5,neutro
2023-10-08 08:43:30,agua dias agua,NaN,0.09,negativo
"2023-10-08 08:49:41,villa salvador av maritegui alamos si agua todavia,""Maracaibo,estado zulia "",0.18,negativo"
"2023-10-08 09:05:27,gusto mentir dicen bien asi vmt sector todavia repone agua peor anuncian vuelve normalidad resulta volvio ratito agua hrs gente boto agua comunicado ahora agua,""Lima, Peru"",0.0,negativo"
2023-10-08 09:07:51,jajajaja pais modo retroceso empresa logra hacer trabajo tiempo menor previsto quejan verdad reponia servicio acuerdo indicado solo joder,NaN,0.01,negativo
"2023-10-08 10:56:23,habia vuelto ayer hoy hace minutos vuelto ir confiada vez carajo incompetencia rimac florida calle agua,""Rimac,  Lima  - Perú"",0.0,negativo"
2023-10-08 12:16:07,w,NaN,0.5,neutro
2023-10-08 12:24:28,ahora distritos agua,NaN,0.14,negativo
"2023-10-08 12:41:51,surco cruceta agua aqui confiado dispuso,""Santiago de Surco, Peru"",0.31,negativo"
"2023-10-08 12:59:34,solucionaran problema agua lurin llegue solo horas interdiario vida nadie denle solucion pueblo basta hacer sufrir poblacion lurinense,""Villa El Salvador, Peru"",0.0,negativo"
"2023-10-08 14:08:57,gracias,""Lima, Perú 🇵🇪 "",0.55,neutro"
2023-10-08 14:33:56,cierto publicacion sector presion justas puede lavar manos cano pregunto solucion dejaran asi cuanto tiempo esperar solucion definitiva,NaN,0.01,negativo
2023-10-08 16:15:40,dia agua miles personas compraron tachos agua alto precio culpa cortupcion haciendo negocios debieron ser claros enganar poblacion juntando agua desesperadamente,NaN,0.0,negativo
"2023-10-08 19:14:38,baja presion agua san borja,""Lima, Peru"",0.36,neutro"
2023-10-08 23:58:34,van ser caso media noche estan haciendo trabajos bulla dejan dormir vecinos estan calle golondrinas gorriones urbanizacion nogales altura cuadra avenida angelica gamarra posibleeee,Los olivos.,0.0,negativo
2023-10-09 08:38:06,villa angeles olivos previo aviso cortan servicio agua,NaN,0.28,negativo
2023-10-09 11:34:42,reestablecido servicio agua poca presion,NaN,0.44,neutro
"2023-10-09 12:13:07,fuga valvula medidor llamo dicen van resolverlo urgentemente dias agua edificio menos hacer sos,""Miraflores, Perú "",0.0,negativo"
2023-10-10 16:58:00,ingeniebrios alta tecnologia pena esten dotando agua oxido triturado verguenza pais denuncio delincuentes prensa nacional gerentillos,United States,0.31,negativo
2023-10-11 14:40:11,primero desistir oficinas san isidro ir conos dinero ayuden gente puede tener agua segundo voten desgraciado carlos lozada pagar oficinas lujos mediatico ministra debe renunciar largarse,NaN,0.0,negativo
2023-10-12 14:29:25,suministro villa maria triunfo agua viernes pasado pesar dia recibo favor si pueden acercarse solucionar unica casa agua,Lima-Peru,0.0,negativo
2023-10-14 10:54:11,falso suministro aun agua viernes pasado pese llamadas wasap visitas vienen arreglar,Lima-Peru,0.01,negativo
2023-10-14 18:57:28,fines semana cortan agua decir urbanizacion umamarca hartos vecinos exigimos respuesta dejen payasadas contrario iremos prensa,NaN,0.01,negativo
2023-10-14 21:36:36,motivo cortado agua distrito surco si ningun comunicado respecto,NaN,0.24,negativo
